English,Definition
generation,"the process of producing or creating something, often used in the context of a particular cohort of people born and raised at the same time"
Constitution,the fundamental principles or established precedents according to which a state or other organization is governed
Liberty,"the state of being free within society from oppressive restrictions imposed by authority on one's way of life, behavior, or political views"
nuclear,relating to or using nuclear energy or weapons
idea,a thought or suggestion as to a possible course of action
surveillance,"the monitoring of behavior, activities, or information for the purpose of managing or influencing"
censorship,"the suppression of speech, public communication, or other information"
Democratic,"relating to or supporting a political system in which the power lies with the people, often through elected representatives"
affiliation,the state of being connected or associated with a group or organization
values,the principles or beliefs that guide the behavior of a person or group
dramatically,to a significant or impressive extent
constitutional,"relating to or made in accordance with a constitution, especially as fundamental laws or principles"
inversion,a reversal or contradiction of a normal state or condition
substance,the tangible matter or material of which a person or thing exists
endorsements,official approvals or recommendations given for products or services
neocons,"a term often used to refer to conservative foreign policy advocates, particularly in the U.S."
wealthy,having a lot of money and resources; affluent
warrants,legal documents that authorize police or other authorities to carry out actions
opposite,something that is contrary to or different from something else
environmental,relating to the natural world and the impact of human activity on it
excellent,of the highest quality; exceptionally good
accountable,responsible to someone or for something; open to accountability
protected,kept safe from harm or loss; preserved
Amplify,to increase or improve something significantly
theater,"a building or outdoor area where plays, movies, or other performances are presented"
politics,the activities associated with the governance of a country or area
outsider,a person who is not part of a particular group or system
needles,"thin cylindrical objects used for medical purposes, especially hypodermic injections"
